Rounded P,"T, C",Data Source,mNaCl_rounded (group),"mNaCl, mol/kg",mNaCl_rounded,"P, bar",Ref,"solubility_experimental, mol/kg (bin)","T, C (group)",Temperature,"mCO2, Exp, mol/kg",Round_T,"Solubility Est New, Mol/Kg","Solubility Est Old, Mol/Kg",Solubility_estimated_Duan_Sun,"Solubility_estimated_XGB, mol/kg","solubility_experimental, mol/kg","T, K"
29.83,50,"Hou et al.,2013",4,4,4,29.83,,0.1,50,50.0,0.223888889,50,0.251700595,0.250503490,0.25,0.25,0.22,323.15
59.54,50,"Hou et al.,2013",4,4,4,59.54,,0.3,50,50.0,0.387222222,50,0.419228028,0.417378814,0.42,0.42,0.39,323.15
89.53,50,"Hou et al.,2013",4,4,4,89.53,,0.5,50,50.0,0.541666667,50,0.517470321,0.519654593,0.52,0.52,0.54,323.15
120.17,50,"Hou et al.,2013",4,4,4,120.17,,0.5,50,50.0,0.531111111,50,0.571598469,0.563694236,0.56,0.57,0.53,323.15
149.59,50,"Hou et al.,2013",4,4,4,149.59,,0.5,50,50.0,0.553888889,50,0.583873184,0.586083908,0.59,0.58,0.55,323.15
179.54,50,"Hou et al.,2013",4,4,4,179.54,,0.5,50,50.0,0.569444444,50,0.610999423,0.605991836,0.61,0.61,0.57,323.15
29.51,99.85,"Hou et al.,2013",4,4,4,29.51,,0.1,100,100.0,0.139444444,100,0.153655095,0.152564096,0.15,0.15,0.14,373
60.68,99.85,"Hou et al.,2013",4,4,4,60.68,,0.1,100,100.0,0.258888889,100,0.278804480,0.279231608,0.28,0.28,0.26,373
89.16,99.85,"Hou et al.,2013",4,4,4,89.16,,0.3,100,100.0,0.344444444,100,0.377489367,0.368598624,0.37,0.38,0.34,373
120.03,99.85,"Hou et al.,2013",4,4,4,120.03,,0.4,100,100.0,0.417777778,100,0.447646523,0.442486965,0.44,0.45,0.42,373
149.24,99.85,"Hou et al.,2013",4,4,4,149.24,,0.4,100,100.0,0.476111111,100,0.497808483,0.494848431,0.49,0.5,0.48,373
181.62,99.85,"Hou et al.,2013",4,4,4,181.62,,0.4,100,100.0,0.513333333,100,0.541290060,0.538374224,0.54,0.54,0.51,373
51,49.950000000,"Koschel et al., 2006",1,1,1,51,,0.5,50,50.0,0.623588,50,0.636538021,0.636303190,0.64,0.64,0.62,323.1
100.3,49.950000000,"Koschel et al., 2006",1,1,1,100.3,,0.9,50,50.0,0.926302,50,0.915045020,0.919292129,0.92,0.92,0.93,323.1
143.8,49.950000000,"Koschel et al., 2006",1,1,1,143.8,,0.9,50,50.0,1.001052,50,0.985113324,0.986890565,0.99,0.99,1,323.1
202.4,49.950000000,"Koschel et al., 2006",1,1,1,202.4,,0.9,50,50.0,1.024092,50,1.038945575,1.045693512,1.05,1.04,1.02,323.1
50.7,99.95,"Koschel et al., 2006",1,1,1,50.7,,0.3,100,100.0,0.335345,100,0.390331156,0.386810721,0.39,0.39,0.34,373.1
100.4,99.95,"Koschel et al., 2006",1,1,1,100.4,,0.5,100,100.0,0.62927,100,0.638661024,0.642886925,0.64,0.64,0.63,373.1
191.4,99.95,"Koschel et al., 2006",1,1,1,191.4,,0.8,100,100.0,0.909081,100,0.903538389,0.889189449,0.89,0.9,0.91,373.1
50,49.950000000,"Koschel et al., 2006",3,3,3,50,,0.4,50,50.0,0.46497,50,0.434909756,0.436698799,0.44,0.43,0.46,323.1
100.4,49.950000000,"Koschel et al., 2006",3,3,3,100.4,,0.5,50,50.0,0.640637,50,0.634333656,0.636911146,0.64,0.63,0.64,323.1
144.1,49.950000000,"Koschel et al., 2006",3,3,3,144.1,,0.7,50,50.0,0.697538,50,0.683633024,0.683937599,0.68,0.68,0.7,323.1
202.4,49.950000000,"Koschel et al., 2006",3,3,3,202.4,,0.7,50,50.0,0.771683,50,0.721837300,0.726525623,0.73,0.72,0.77,323.1
50.4,99.95,"Koschel et al., 2006",3,3,3,50.4,,0.1,100,100.0,0.239921,100,0.279645527,0.277326305,0.28,0.28,0.24,373.1
102.9,99.95,"Koschel et al., 2006",3,3,3,102.9,,0.4,100,100.0,0.448029,100,0.466437059,0.466048209,0.47,0.47,0.45,373.1
190.2,99.95,"Koschel et al., 2006",3,3,3,190.2,,0.5,100,100.0,0.62927,100,0.639398374,0.630868548,0.63,0.64,0.63,373.1
21,45,"Liu et al., 2011",2,1.899335,1.9,21,,0.3,45,45.0,0.278368,45,0.285063512,0.284780111,0.28,0.29,0.28,318.15
40.9,45,"Liu et al., 2011",2,1.899335,1.9,40.9,,0.4,45,45.0,0.466189,45,0.500355555,0.491616887,0.49,0.5,0.47,318.15
60.6,45,"Liu et al., 2011",2,1.899335,1.9,60.6,,0.5,45,45.0,0.618667,45,0.645324776,0.644530091,0.64,0.65,0.62,318.15
81,45,"Liu et al., 2011",2,1.899335,1.9,81,,0.7,45,45.0,0.714989,45,0.759958715,0.753099989,0.75,0.76,0.71,318.15
100.9,45,"Liu et al., 2011",2,1.899335,1.9,100.9,,0.7,45,45.0,0.768305,45,0.816142231,0.808530996,0.81,0.82,0.77,318.15
121,45,"Liu et al., 2011",2,1.899335,1.9,121,,0.8,45,45.0,0.795055,45,0.836845622,0.832452421,0.83,0.84,0.8,318.15
140.8,45,"Liu et al., 2011",2,1.899335,1.9,140.8,,0.8,45,45.0,0.807234,45,0.852842823,0.851584417,0.85,0.85,0.81,318.15
158.3,45,"Liu et al., 2011",2,1.899335,1.9,158.3,,0.8,45,45.0,0.824305,45,0.875222911,0.866854968,0.87,0.88,0.82,318.15
40.4,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,40.4,,0.4,80,80.0,0.414,80,0.433294242,0.436984237,0.44,0.43,0.41,353
41.3,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,41.3,,0.4,80,80.0,0.425,80,0.442582757,0.445135270,0.45,0.44,0.43,353
60.2,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,60.2,,0.5,80,80.0,0.566,80,0.597720549,0.600745992,0.6,0.6,0.57,353
60.7,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,60.7,,0.5,80,80.0,0.606,80,0.602366960,0.604474343,0.6,0.6,0.61,353
80.4,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,80.4,,0.7,80,80.0,0.759,80,0.736418781,0.736469805,0.74,0.74,0.76,353
